dia_setmana,hora_dia,pct_buida,pct_plena
1,0,10.37,2.83
1,1,8.54,2.48
1,2,6.95,1.95
1,3,5.71,1.5
1,4,4.85,1.23
1,5,4.38,0.94
1,6,4.38,0.96
1,7,9.36,1.72
1,8,19.18,3.92
1,9,21.94,6.69
1,10,19.52,6.94
1,11,18.56,5.94
1,12,16.84,4.7
1,13,14.96,3.35
1,14,14.19,2.56
1,15,12.96,2.74
1,16,13.73,2.62
1,17,15.74,2.29
1,18,18.64,2.28
1,19,18.0,2.78
1,20,16.44,2.88
1,21,14.26,3.11
1,22,12.34,3.41
1,23,12.44,3.7
2,0,12.22,3.96
2,1,10.3,3.64
2,2,8.36,2.97
2,3,6.89,2.34
2,4,5.79,1.84
2,5,5.07,1.32
2,6,5.02,1.08
2,7,10.17,1.83
2,8,21.16,4.27
2,9,24.0,7.73
2,10,21.42,8.04
2,11,20.05,6.83
2,12,17.81,5.39
2,13,15.75,3.77
2,14,15.11,2.88
2,15,13.85,3.05
2,16,14.79,2.91
2,17,17.23,2.52
2,18,20.83,2.66
2,19,19.88,3.32
2,20,18.01,3.45
2,21,15.14,3.75
2,22,13.2,4.06
2,23,13.95,4.38
3,0,13.46,4.69
3,1,11.25,4.29
3,2,9.35,3.6
3,3,7.68,2.81
3,4,6.39,2.18
3,5,5.55,1.56
3,6,5.41,1.34
3,7,10.05,1.99
3,8,19.99,4.08
3,9,23.15,7.36
3,10,20.7,7.75
3,11,19.44,6.78
3,12,17.17,5.33
3,13,15.52,3.77
3,14,14.73,2.98
3,15,13.58,2.97
3,16,14.42,2.85
3,17,16.82,2.59
3,18,20.31,2.78
3,19,19.74,3.54
3,20,18.4,3.87
3,21,14.91,4.03
3,22,12.68,4.04
3,23,13.57,4.34
4,0,13.56,4.72
4,1,11.24,4.63
4,2,9.41,4.01
4,3,7.93,3.28
4,4,6.81,2.65
4,5,6.2,1.95
4,6,5.69,1.49
4,7,9.64,1.86
4,8,19.05,3.99
4,9,22.44,7.55
4,10,20.67,8.25
4,11,19.78,7.25
4,12,17.83,5.85
4,13,15.87,4.24
4,14,14.71,3.23
4,15,13.42,3.34
4,16,14.75,3.3
4,17,16.99,2.85
4,18,20.39,2.9
4,19,19.82,3.54
4,20,18.04,3.77
4,21,14.87,4.02
4,22,12.55,4.07
4,23,13.43,4.18
5,0,13.65,4.61
5,1,11.48,4.73
5,2,9.9,4.32
5,3,8.58,3.63
5,4,7.51,3.02
5,5,6.99,2.37
5,6,6.11,1.86
5,7,8.79,1.97
5,8,14.5,3.16
5,9,16.74,5.03
5,10,16.13,5.75
5,11,15.92,5.3
5,12,14.86,4.44
5,13,13.8,3.35
5,14,14.21,2.73
5,15,14.33,3.23
5,16,15.98,3.55
5,17,17.89,3.67
5,18,18.69,3.61
5,19,18.63,3.68
5,20,17.56,3.91
5,21,14.89,4.21
5,22,12.36,4.28
5,23,11.81,4.04
6,0,11.32,3.73
6,1,9.96,3.49
6,2,9.43,3.3
6,3,9.64,3.29
6,4,9.23,3.42
6,5,8.93,3.01
6,6,8.42,2.61
6,7,7.46,2.14
6,8,7.41,1.77
6,9,8.31,1.98
6,10,9.66,2.62
6,11,11.79,3.37
6,12,13.28,3.86
6,13,14.32,4.02
6,14,13.99,4.4
6,15,14.4,5.04
6,16,17.09,5.33
6,17,17.89,5.06
6,18,18.09,4.65
6,19,17.66,4.38
6,20,16.38,4.05
6,21,13.63,3.95
6,22,11.69,3.9
6,23,11.57,3.62
7,0,10.95,3.32
7,1,9.54,3.15
7,2,8.66,2.94
7,3,8.75,2.76
7,4,8.4,2.75
7,5,8.16,2.42
7,6,7.97,2.26
7,7,7.34,1.98
7,8,7.18,1.71
7,9,7.65,1.8
7,10,9.19,2.27
7,11,11.49,2.79
7,12,13.39,3.39
7,13,14.5,3.76
7,14,14.2,4.12
7,15,14.5,4.89
7,16,16.99,5.26
7,17,18.14,4.81
7,18,17.42,4.15
7,19,15.74,3.4
7,20,14.13,3.02
7,21,11.89,2.91
7,22,10.56,2.86
7,23,10.92,2.88
