id_estacio,nom_districte,lat,lon,slots_mesurats,capacitat_mitja,pct_buida,pct_plena,pct_problema
568,Sarrià-Sant Gervasi,41.4134658326881,2.13520478647346,4240,23.1,58.11,0.0,58.11
582,Horta-Guinardó,41.4250608907384,2.14117169130441,5007,30.5,56.68,0.0,56.68
553,Gràcia,41.4005123,2.1518158,6247,29.1,54.35,1.2,56.67
597,Eixample,41.3959653,2.1635462,3788,26.6,55.02,0.24,55.25
561,Les Corts,41.3900749643978,2.12649638895492,4428,23.2,53.88,0.0,53.88
554,Sarrià-Sant Gervasi,41.3957844,2.1468644,3676,21.7,53.07,0.0,53.07
569,Sarrià-Sant Gervasi,41.410472,2.131204,6056,27.4,48.79,0.0,48.79
577,Horta-Guinardó,41.4237747,2.1546161,3662,22.1,47.82,0.0,47.82
600,Eixample,41.39187,2.16202,6625,22.6,43.67,3.02,47.31
513,Sarrià-Sant Gervasi,41.399017,2.124329,63797,26.4,47.06,0.05,47.13
563,Les Corts,41.38952,2.13862,3207,23.5,45.49,0.0,45.49
32,Ciutat Vella,41.3736911,2.188928,63874,14.3,21.27,23.53,44.9
547,Eixample,41.38997,2.15772,6641,21.8,43.8,0.15,43.95
581,Horta-Guinardó,41.426778,2.138417,5974,27.9,43.66,0.0,43.66
599,Eixample,41.3950976,2.1666929,6305,21.4,42.7,0.38,43.08
598,Eixample,41.395821,2.16728,5993,21.1,42.63,0.2,42.83
66,Eixample,41.3893222,2.1678388,63267,14.4,26.18,14.86,41.07
88,Eixample,41.3936144,2.1507739,64144,17.7,38.29,2.29,40.68
92,Eixample,41.3938861,2.1601641,63961,16.6,35.59,5.0,40.6
595,Eixample,41.394576,2.169295,6010,14.4,40.27,0.13,40.4
107,Sarrià-Sant Gervasi,41.3982304,2.1531031,64032,17.3,37.31,1.87,39.28
227,Gràcia,41.4078456,2.1586704,64075,15.6,32.67,6.46,39.27
602,Eixample,41.4081139,2.176757,6326,18.0,36.2,2.96,39.16
305,Les Corts,41.3875297,2.1237141,64165,25.7,35.39,3.28,38.67
573,Horta-Guinardó,41.4249916795074,2.14819656044664,3301,19.5,38.38,0.0,38.38
328,Sarrià-Sant Gervasi,41.402988,2.1344691,64104,25.7,38.15,0.01,38.23
228,Gràcia,41.4068417,2.1558354,64110,19.3,36.4,1.27,37.84
102,Sarrià-Sant Gervasi,41.392567,2.1422174,64114,23.0,36.81,0.91,37.75
334,Sarrià-Sant Gervasi,41.400793,2.122889,63915,24.2,36.92,0.54,37.48
106,Gràcia,41.4055198,2.1622548,61444,16.7,34.8,2.5,37.33
287,Eixample,41.3890626,2.1679313,61725,14.3,24.41,12.83,37.24
501,Sarrià-Sant Gervasi,41.4052698,2.1420204,64099,14.7,35.78,0.62,36.4
333,Sarrià-Sant Gervasi,41.3954723,2.1250451,64120,25.4,36.22,0.05,36.34
327,Sarrià-Sant Gervasi,41.4050074,2.134603,64090,22.8,36.27,0.04,36.31
99,Sants-Montjuïc,41.3808222,2.141539,64131,19.9,30.06,6.24,36.3
497,Sarrià-Sant Gervasi,41.4095489,2.1360313,63794,25.4,36.21,0.03,36.28
498,Gràcia,41.4144967,2.1402433,63843,25.2,36.17,0.07,36.24
284,Les Corts,41.389462,2.1314948,64094,26.2,34.32,1.88,36.2
511,Gràcia,41.4006862,2.1543317,63688,17.8,34.82,1.25,36.08
220,Sarrià-Sant Gervasi,41.3960982,2.1513154,63947,23.5,32.73,3.2,35.95
31,Ciutat Vella,41.3748001,2.1889045,63865,16.0,10.21,25.55,35.8
330,Sarrià-Sant Gervasi,41.401883,2.131524,63837,26.2,35.77,0.02,35.79
108,Gràcia,41.4022081,2.1649035,63712,18.3,32.33,3.31,35.66
507,Horta-Guinardó,41.4107641,2.1640965,63917,22.3,33.81,1.67,35.49
337,Sarrià-Sant Gervasi,41.3986238,2.1204941,64153,22.2,35.29,0.05,35.34
509,Gràcia,41.3989713,2.1606736,57376,26.5,34.44,0.12,34.72
90,Eixample,41.388296,2.150878,64082,15.7,33.82,0.85,34.68
494,Eixample,41.3896967,2.1652199,63668,22.6,26.44,8.18,34.62
325,Sarrià-Sant Gervasi,41.3949601,2.1302775,63499,22.2,34.35,0.08,34.43
221,Gràcia,41.4025392,2.1524704,63637,21.1,33.46,0.94,34.41
596,Eixample,41.392639960504,2.1696469558197,6303,21.8,32.95,1.17,34.14
422,Les Corts,41.3881175,2.1154135,64158,27.6,29.74,4.34,34.13
329,Sarrià-Sant Gervasi,41.4029965,2.1283866,64105,26.2,32.95,0.73,33.7
331,Sarrià-Sant Gervasi,41.3970497,2.1279409,64108,29.9,33.62,0.01,33.68
604,Eixample,41.4079467,2.1748603,6571,27.2,33.02,0.46,33.51
572,Horta-Guinardó,41.4341809929127,2.15187841563274,3517,23.8,33.27,0.0,33.27
