dia_setmana,nom_dia_setmana,hora_dia,mitj_viatges_hora_dia
1,Dilluns,0,927.4479166666666
1,Dilluns,1,591.90625
1,Dilluns,2,424.0833333333333
1,Dilluns,3,323.5183246073298
1,Dilluns,4,288.0
1,Dilluns,5,393.1675392670157
1,Dilluns,6,729.7905759162304
1,Dilluns,7,1836.3072916666667
1,Dilluns,8,2071.8497409326424
1,Dilluns,9,1503.479381443299
1,Dilluns,10,1245.7692307692307
1,Dilluns,11,1340.6820512820514
1,Dilluns,12,1489.8010204081634
1,Dilluns,13,1768.3010204081634
1,Dilluns,14,1983.0666666666666
1,Dilluns,15,1827.497435897436
1,Dilluns,16,1962.8298969072166
1,Dilluns,17,2242.907216494845
1,Dilluns,18,2408.639175257732
1,Dilluns,19,2196.6907216494847
1,Dilluns,20,2091.7886597938145
1,Dilluns,21,1755.0360824742268
1,Dilluns,22,1344.0154639175257
1,Dilluns,23,1133.5360824742268
2,Dimarts,0,881.0257731958762
2,Dimarts,1,538.9742268041238
2,Dimarts,2,387.8341968911917
2,Dimarts,3,292.1865284974093
2,Dimarts,4,264.4947916666667
2,Dimarts,5,391.2604166666667
2,Dimarts,6,800.2708333333334
2,Dimarts,7,2056.3041237113403
2,Dimarts,8,2349.4205128205126
2,Dimarts,9,1629.1734693877552
2,Dimarts,10,1358.3756345177665
2,Dimarts,11,1406.0659898477156
2,Dimarts,12,1557.3636363636363
2,Dimarts,13,1879.4773869346734
2,Dimarts,14,2071.527638190955
2,Dimarts,15,1917.5527638190954
2,Dimarts,16,2028.5778894472362
2,Dimarts,17,2382.246231155779
2,Dimarts,18,2534.708542713568
2,Dimarts,19,2293.994974874372
2,Dimarts,20,2174.829145728643
2,Dimarts,21,1796.9447236180904
2,Dimarts,22,1425.939393939394
2,Dimarts,23,1296.3030303030303
3,Dimecres,0,995.5736040609137
3,Dimecres,1,604.741116751269
3,Dimecres,2,431.13775510204084
3,Dimecres,3,324.01522842639594
3,Dimecres,4,289.1218274111675
3,Dimecres,5,408.1979695431472
3,Dimecres,6,798.1522842639594
3,Dimecres,7,2052.8680203045687
3,Dimecres,8,2303.9187817258885
3,Dimecres,9,1644.751269035533
3,Dimecres,10,1377.8324873096446
3,Dimecres,11,1441.4336734693877
3,Dimecres,12,1599.8316326530612
3,Dimecres,13,1897.7091836734694
3,Dimecres,14,2077.4438775510203
3,Dimecres,15,1950.6734693877552
3,Dimecres,16,2081.3025641025642
3,Dimecres,17,2420.153846153846
3,Dimecres,18,2550.5128205128203
3,Dimecres,19,2327.123076923077
3,Dimecres,20,2203.528205128205
3,Dimecres,21,1831.357142857143
3,Dimecres,22,1486.280612244898
3,Dimecres,23,1416.9642857142858
4,Dijous,0,1097.446153846154
4,Dijous,1,654.9948717948718
4,Dijous,2,461.1384615384615
