any_,num_mes,nom_mes,viatges_mes
2022,1,Gener,817370.0
2022,2,Febrer,897821.0
2022,3,Març,976702.0
2022,4,Abril,914239.0
2022,5,Maig,1099009.0
2022,6,Juny,1038366.0
2022,7,Juliol,944511.0
2022,8,Agost,903199.0
2022,9,Setembre,1055016.0
2022,10,Octubre,1081569.0
2022,11,Novembre,1067441.0
2022,12,Desembre,906045.0
2023,1,Gener,884314.0
2023,2,Febrer,910619.0
2023,3,Març,1071198.0
2023,4,Abril,906193.0
2023,5,Maig,1076208.0
2023,6,Juny,1047283.0
2023,7,Juliol,1047862.0
2023,8,Agost,634630.0
2023,9,Setembre,943298.0
2023,10,Octubre,1101424.0
2023,11,Novembre,949285.0
2023,12,Desembre,889627.0
2024,1,Gener,919131.0
2024,2,Febrer,1015489.0
2024,3,Març,1010903.0
2024,4,Abril,1084925.0
2024,5,Maig,1176668.0
2024,6,Juny,1120148.0
2024,7,Juliol,1170254.0
2024,8,Agost,1032124.0
2024,9,Setembre,1199708.0
2024,10,Octubre,1238359.0
2024,11,Novembre,1168489.0
2024,12,Desembre,1010978.0
2025,1,Gener,1121916.0
2025,2,Febrer,1013644.0
2025,3,Març,976020.0
2025,4,Abril,966944.0
2025,5,Maig,1119127.0
2025,6,Juny,1159853.0
2025,7,Juliol,1192615.0
2025,8,Agost,1045416.0
2025,9,Setembre,1218430.0
2025,12,Desembre,596795.0
