id_estacion,nombre_calle,lat,lon,altitud,direccion,cruce_calles,codigo_postal,index_right,codigo_distrito,nombre_distrito
1,"GRAN VIA CORTS CATALANES, 760",41.3979779,2.1801069,16.0,"GRAN VIA CORTS CATALANES, 760",02-Eixample/05-el Fort Pienc,8013.0,2,02,Eixample
2,"C/ ROGER DE FLOR, 126",41.3954877,2.1771985,17.0,"C/ ROGER DE FLOR, 126",02-Eixample/05-el Fort Pienc,8013.0,2,02,Eixample
3," C/ NÀPOLS, 82",41.3941557,2.1813305,11.0,"C/ NÀPOLS, 82",02-Eixample/05-el Fort Pienc,8013.0,2,02,Eixample
4,"C/ RIBES, 13",41.3933173,2.1812483,8.0,"C/ RIBES, 13",02-Eixample/05-el Fort Pienc,8013.0,2,02,Eixample
5,"PG. LLUIS COMPANYS, 11 (ARC TRIOMF)",41.3911035,2.1801763,7.0,"PG. LLUIS COMPANYS, 11 (ARC TRIOMF)","01-CiutatVella/04-Sant Pere, Santa Caterina i la Ribera",8018.0,1,01,Ciutat Vella
6,"PG. LLUIS COMPANYS, 18 (ARC TRIOMF)",41.3914292,2.1805685,10.0,"PG. LLUIS COMPANYS, 18  (ARC TRIOMF)","01-CiutatVella/04-Sant Pere, Santa Caterina i la Ribera",8018.0,1,01,Ciutat Vella
7,"PG. PUJADES,  1 (JUTJATS)",41.388885,2.18329,6.0,"PG. PUJADES,  1 (JUTJATS)","01-CiutatVella/04-Sant Pere, Santa Caterina i la Ribera",8003.0,1,01,Ciutat Vella
8,"PG. PUJADES, 2",41.389135,2.183489,6.0,"PG. PUJADES, 2","01-CiutatVella/04-Sant Pere, Santa Caterina i la Ribera",8003.0,1,01,Ciutat Vella
9,"AV. MARQUÉS DE L'ARGENTERA,13",41.384546,2.184922,5.0,"AV. MARQUÉS DE L'ARGENTERA,13","01-CiutatVella/04-Sant Pere, Santa Caterina i la Ribera",8003.0,1,01,Ciutat Vella
10,"C/ 60, NÚMERO 25",41.3467746,2.1436235,,"C/ 60, NÚMERO 25",03-Sants-Montjuïc/12-la Marina del Prat Vermell,8040.0,3,03,Sants-Montjuïc
11,"PG. MARITIM, 11 (DAVANT PL. BRUGADA)",41.382398,2.194294,,"PG. MARITIM, 11 (DAVANT PL. BRUGADA)",01-CiutatVella/03-la Barceloneta,8003.0,1,01,Ciutat Vella
12,"PG. MARITIM, 23 (HOSPITAL DEL MAR)",41.3833653,2.1946255,7.0,"PG. MARITIM, 23 (HOSPITAL DEL MAR)",01-CiutatVella/03-la Barceloneta,8003.0,1,01,Ciutat Vella
13,"C/ MARINA, 25-33",41.388143,2.195551,7.0,"C/ MARINA, 25-33",01-CiutatVella/67-la Vila Olímpica del Poblenou,8005.0,10,10,Sant Martí
14,"AV. MARQUÉS DE  L'ARGENTERA, 15",41.384844,2.185085,5.0,"AV. MARQUÉS DE  L'ARGENTERA, 15","01-CiutatVella/04-Sant Pere, Santa Caterina i la Ribera",8003.0,1,01,Ciutat Vella
15,"C/ DIPUTACIÓ, 272",41.3916117009235,2.16890319787512,25.0,"C/ DIPUTACIÓ, 272",02-Eixample/07-la Dreta de l'Eixample,8009.0,2,02,Eixample
17,"AV. MERIDIANA, 47 (D)",41.3982615,2.1866517,14.0,"AV. MERIDIANA, 47 (D)",02-Eixample/66-el Parc i la Llacuna del Poblenou,8013.0,2,02,Eixample
18,"C/ ROSSELLÓ, 453",41.4060589,2.1740472,38.0,"C/ ROSSELLÓ, 453",02-Eixample/06-la Sagrada Família,8025.0,2,02,Eixample
19,"C/ ROSSELLÓ, 354",41.4031491,2.1707947,40.0,"C/ ROSSELLÓ, 354",02-Eixample/06-la Sagrada Família,8025.0,2,02,Eixample
20,"C/ CARTAGENA, 308",41.410314,2.1757334,46.0,"C/ CARTAGENA, 308",02-Eixample/06-la Sagrada Família,8025.0,2,02,Eixample
21,"C/ SANT ANTONI MARIA CLARET, 214",41.4108439,2.1740575,52.0," C/ SANT ANTONI MARIA CLARET, 214   ",02-Eixample/06-la Sagrada Família,8025.0,2,02,Eixample
22,"C/ SARDENYA, 292",41.4016969,2.175767,28.0,"C/ SARDENYA, 292",02-Eixample/06-la Sagrada Família,8013.0,2,02,Eixample
23,"C/ BRUC, 45",41.3924661,2.1717397,21.0,"C/ BRUC, 45",02-Eixample/07-la Dreta de l'Eixample,8010.0,2,02,Eixample
24,"C/ MARINA, 199",41.4005784,2.1788855,23.0,"C/ MARINA, 199",02-Eixample/05-el Fort Pienc,8013.0,2,02,Eixample
25,"C/ BRUC, 102",41.3954041,2.1681961,29.0,"C/ BRUC, 102",02-Eixample/07-la Dreta de l'Eixample,8009.0,2,02,Eixample
26,"C/ DOS DE MAIG, 230-232",41.4071692,2.1820722,22.0,"C/ DOS DE MAIG, 230-232",10-SantMartí/64-el Camp de l'Arpa del Clot,8013.0,10,10,Sant Martí
27,"C/ PROVENÇA, 322",41.3967524,2.1646338,38.0,"C/ PROVENÇA, 322",02-Eixample/07-la Dreta de l'Eixample,8037.0,2,02,Eixample
28,"C/ SARDENYA, 362",41.4055143,2.1706498,46.0,"C/ SARDENYA, 362",02-Eixample/06-la Sagrada Família,8025.0,2,02,Eixample
29,"C/ PROVENÇA, 388-390",41.401061,2.169941,34.0,"C/ PROVENÇA, 388-390",02-Eixample/07-la Dreta de l'Eixample,8025.0,2,02,Eixample
30,"C/ CASTILLEJOS, 184",41.4021805,2.1829894,13.0,"C/ CASTILLEJOS, 184",02-Eixample/05-el Fort Pienc,8013.0,2,02,Eixample
31,PL. DEL MAR,41.3748001,2.1889045,4.0,PL. DEL MAR,01-CiutatVella/03-la Barceloneta,8003.0,1,01,Ciutat Vella
32,LA BARCELONETA (CN BARCELONETA),41.3736911,2.188928,4.0,LA BARCELONETA (CN BARCELONETA),01-CiutatVella/03-la Barceloneta,8003.0,1,01,Ciutat Vella
33,"C/ PONTEVEDRA, 58B | C/ JUDICI",41.37686,2.19067,4.0,"C/ PONTEVEDRA, 58B | C/ JUDICI",01-CiutatVella/03-la Barceloneta,8003.0,1,01,Ciutat Vella
34,"C/ SANT PERE MÉS ALT, 4",41.3871079,2.1753364,9.0,"C/ SANT PERE MÉS ALT, 4","01-CiutatVella/04-Sant Pere, Santa Caterina i la Ribera",8003.0,1,01,Ciutat Vella
35,"C/ SANT RAMON DE PENYAFORT, 1",41.4134833,2.2206913,5.0,"C/ SANT RAMON DE PENYAFORT, 1",10-SantMartí/70-el Besòs i el Maresme,8930.0,10,10,Sant Martí
36,"AV. DE LA CATEDRAL, 6",41.3850616,2.1766834,8.0,"AV. DE LA CATEDRAL, 6",01-CiutatVella/02-el Barri Gòtic,8002.0,1,01,Ciutat Vella
37,PG. DE COLOM - VIA LAIETANA,41.380624,2.1820675,4.0,PG. DE COLOM - VIA LAIETANA,"01-CiutatVella/04-Sant Pere, Santa Caterina i la Ribera",8002.0,1,01,Ciutat Vella
39,PL. PAU VILA (D),41.381046,2.186576,4.0,PL. PAU VILA (D),01-CiutatVella/03-la Barceloneta,8039.0,1,01,Ciutat Vella
40,"C/ DOCTOR AIGUADER, 2",41.382335,2.187093,6.0,"C/ DOCTOR AIGUADER, 2",01-CiutatVella/03-la Barceloneta,8039.0,1,01,Ciutat Vella
41,PL. POETA BOSCÀ | C/ ATLÀNTIDA,41.379326,2.189906,5.0,PL. POETA BOSCÀ | C/ ATLÀNTIDA,01-CiutatVella/03-la Barceloneta,8003.0,1,01,Ciutat Vella
42,"C/ CIUTAT DE GRANADA, 168| AV.DIAGONAL   ",41.4044068884896,2.18991788037394,,"C/ CIUTAT DE GRANADA, 165 | AV.DIAGONAL ",10-SantMartí/66-el Parc i la Llacuna del Poblenou,8018.0,10,10,Sant Martí
43,"C/ CLOT, 1",41.4063864,2.1874404,13.0,"C/ CLOT, 1",10-SantMartí/65-el Clot,8018.0,10,10,Sant Martí
44,"DIAGONAL MAR-AV. MERIDIANA, 71",41.4014737309554,2.1867650955646,,"DIAGONAL MAR-AV. MERIDIANA, 71",02-Eixample/05-el Fort Pienc,8018.0,2,02,Eixample
45,"C/ SARDENYA, 66",41.391466,2.189371,5.0,"C/ SARDENYA, 66",10-SantMartí/67-la Vila Olímpica del Poblenou,8005.0,10,10,Sant Martí
46,"C/ VILLENA, 1",41.3886065969256,2.19219450845947,7.0,"C/ VILLENA, 1",10-SantMartí/67-la Vila Olímpica del Poblenou,8005.0,10,10,Sant Martí
47,"C/ RAMON TRIAS FARGAS, 21",41.3902194,2.1904003,5.0,"C/ RAMON TRIAS FARGAS, 21",10-SantMartí/67-la Vila Olímpica del Poblenou,8005.0,10,10,Sant Martí
